Key,en,es,ar,fr,hi
Banned Agents,Banned Agents,Agentes prohibidos,العملاء المحظورون,Agents interdits,प्रतिबंधित एजेंट
Admin Care,Admin Care,Atención al administrador,الرعاية الإدارية,Soins administratifs,व्यवस्थापक देखभाल
All Admin,All Admin,Todos los administradores,جميع المسؤولين,Tous les administrateurs,सभी व्यवस्थापक
Admin Role,Admin Role,Rol de administrador,دور المسؤول,Rôle d'administrateur,व्यवस्थापक भूमिका
Role Permission,Role Permission,Permiso de rol,إذن الدور,Autorisation de rôle,भूमिका अनुमति
Email To Admin,Email To Admin,Correo electrónico al administrador,البريد الإلكتروني إلى المشرف,Envoyer un e-mail à l'administrateur,व्यवस्थापक को ईमेल करें
Settings,Settings,Ajustes,إعدادات,Paramètres,सेटिंग्स
Web Settings,Web Settings,Configuración web,إعدادات الويب,Paramètres Web,वेब सेटिंग्स
Basic Settings,Basic Settings,Configuración básica,الإعدادات الأساسية,Paramètres de base,मूल सेटिंग्स
Image Assets,Image Assets,Activos de imagen,أصول الصور,Ressources d'image,छवि संपत्तियाँ
Setup SEO,Setup SEO ( Search Engine Optimization ),Configurar SEO (optimización de motores de búsqueda),إعداد تحسين محركات البحث (SEO),Configuration du référencement (SEO),SEO (सर्च इंजन ऑप्टिमाइजेशन) सेटअप करें
App Settings,App Settings,Configuración de la aplicación,إعدادات التطبيق,Paramètres de l'application,ऐप सेटिंग्स
Splash Screen,Splash Screen,Pantalla de bienvenida,شاشة البداية,Écran de démarrage,स्प्लैश स्क्रीन
Onboard Screen,Onboard Screen,Pantalla a bordo,شاشة مدمجة,Écran embarqué,ऑनबोर्ड स्क्रीन
App URLs,App URLs,URL de aplicaciones,عناوين URL للتطبيقات,URL des applications,ऐप URL
VERIFICATION CENTER,Verification Center,Centro de verificación,مركز التحقق,Centre de vérification,सत्यापन केंद्र
Setup Email,Setup Email,Configurar correo electrónico,إعداد البريد الإلكتروني,Configuration de l'e-mail,ईमेल सेटअप करें
Email Method,Email Method,Método de correo electrónico,طريقة البريد الإلكتروني,Méthode par courrier électronique,ईमेल विधि
Setup KYC,Setup KYC,Configurar KYC,إعداد KYC,Configuration KYC,केवाईसी सेटअप करें
SETUP WEB CONTENT,Setup Web Content,Configurar contenido web,إعداد محتوى الويب,Configurer le contenu Web,वेब सामग्री सेटअप करें
Setup Section,Setup Section,Sección de configuración,قسم الإعداد,Section de configuration,सेटअप अनुभाग
Banner Section,Banner Section,Sección de pancartas,قسم اللافتات,Section Bannière,बैनर अनुभाग
Banner Floting,Banner Floting,Bandera flotante,لافتة عائمة,Bannière flottante,बैनर फ़्लोटिंग
About Section,About Section,Sección Acerca de,حول القسم,À propos de la section,अनुभाग के बारे में
Work Section,Work Section,Sección de trabajo,قسم العمل,Section Travail,कार्य अनुभाग
Service Section,Service Section,Sección de Servicio,قسم الخدمة,Section des services,सेवा अनुभाग
FAQ Section,FAQ Section,Sección de preguntas frecuentes,قسم الأسئلة الشائعة,Section FAQ,FAQ अनुभाग
Blog Section,Blog Section,Sección del blog,قسم المدونة,Section Blog,ब्लॉग अनुभाग
Blog Category,Blog Category,Categoría del blog,فئة المدونة,Catégorie de blog,ब्लॉग श्रेणी
Contact Us Section,Contact Us Section,Sección Contáctenos,قسم اتصل بنا,Section Contactez-nous,हमसे संपर्क करें अनुभाग
Footer Section,Footer Section,Sección de pie de página,قسم التذييل,Section pied de page,पाद अनुभाग
Testimonials Section,Testimonials Section,Sección de testimonios,قسم الشهادات,Section Témoignages,प्रशंसापत्र अनुभाग
Setup Pages,Setup Pages,Páginas de configuración,صفحات الإعداد,Pages de configuration,सेटअप पृष्ठ
Extensions,Extensions,Extensiones,الإضافات,Extensions,एक्सटेंशन
PAYMENT METHODS,Payment Methods,Métodos de pago,طرق الدفع,Modes de paiement,भुगतान विधियाँ
Add Money,Add Money,Añadir dinero,أضف المال,Ajouter de l'argent,पैसे जोड़ें
Automatic,Automatic,Automático,أوتوماتيكي,Automatique,स्वचालित
Manual,Manual,Manual,يدوي,Manuel,नियमावली
NOTIFICATION-UPPER,Notification,Notificación,إشعار,Notification,अधिसूचना
Push Notification,Push Notification,Notificación push,إشعارات الدفع,Notification push,सर्वर पुश नोटीफिकेशन
Setup Notification,Setup Notification,Notificación de configuración,إشعار الإعداد,Notification de configuration,सेटअप अधिसूचना
Send Notification,Send Notification,Enviar notificación,إرسال إشعار,Envoyer une notification,सूचना भेजें
BONUS,Bonus,Prima,علاوة,Prime,बोनस
GDPR Cookie,GDPR Cookie,Cookie de RGPD,ملف تعريف الارتباط GDPR,Cookie RGPD,GDPR कुकी
Server Info,Server Info,Información del servidor,معلومات الخادم,Informations sur le serveur,सर्वर जानकारी
Clear Cache,Clear Cache,Borrar caché,مسح ذاكرة التخزين المؤقت,Vider le cache,कैश को साफ़ करें
Layout mode,Layout mode,Modo de diseño,وضع التخطيط,Mode de mise en page,लेआउट मोड
Topbar Color,Topbar Color,Color de la barra superior,لون الشريط العلوي,Couleur de la barre supérieure,टॉपबार रंग
Sidebar color,Sidebar color,Color de la barra lateral,لون الشريط الجانبي,Couleur de la barre latérale,साइडबार का रंग
Min Sidebar Color,Min Sidebar Color,Color mínimo de la barra lateral,الحد الأدنى للون الشريط الجانبي,Couleur minimale de la barre latérale,न्यूनतम साइडबार रंग
RTL Support,RTL Support,Soporte RTL,دعم RTL,Prise en charge RTL,आरटीएल समर्थन
Merchant Care,Merchant Care,Atención al comerciante,رعاية التجار,Service aux commerçants,व्यापारी देखभाल
Active Merchants,Active Merchants,Comerciantes activos,التجار النشطين,Commerçants actifs,सक्रिय व्यापारी
Sms Unverified,Sms Unverified,SMS no verificados,الرسائل القصيرة غير مؤكدة,SMS non vérifié,एसएमएस असत्यापित
All Merchants,All Merchants,Todos los comerciantes,جميع التجار,Tous les commerçants,सभी व्यापारी
Email To Merchants,Email To Merchants,Correo electrónico a comerciantes,البريد الإلكتروني للتجار,Courriel aux commerçants,व्यापारियों को ईमेल करें
Banned Merchants,Banned Merchants,Comerciantes prohibidos,التجار المحظورين,Marchands interdits,प्रतिबंधित व्यापारी
Recipient Countries,Recipient Countries,Países receptores,الدول المتلقية,Pays bénéficiaires,प्राप्तकर्ता देश
Mobile Topup,Mobile TopUp,Recarga móvil,اشحن رصيدك المحمول,Recharge mobile,मोबाइल टॉपअप
Categories,Categories,Categorías,فئات,Catégories,श्रेणियाँ
Virtual Card Api,Virtual Card Api,API de tarjeta virtual,واجهة برمجة تطبيقات البطاقة الافتراضية,API de carte virtuelle,वर्चुअल कार्ड एपीआई
Setup Firebase,Setup Firebase,Configurar Firebase,إعداد Firebase,Configurer Firebase,फ़ायरबेस सेटअप करें
Home,Home,Hogar,بيت,Maison,घर
About,About,Acerca de,عن,À propos,के बारे में
FAQ,FAQ,Preguntas frecuentes,التعليمات,FAQ,अक्सर पूछे जाने वाले प्रश्न
Web Journal,Web Journal,Diario web,مجلة الويب,Journal Web,वेब जर्नल
Merchant,Merchant,Comerciante,تاجر,Marchand,व्यापारी
Service,Service,Servicio,خدمة,Service,सेवा
Contact,Contact,Contacto,اتصال,Contact,संपर्क
Download App,Download App,Descargar la aplicación,تنزيل التطبيق,Télécharger l'application,ऐप डाउनलोड करें
Dashboard,Dashboard,Panel,لوحة القيادة,Tableau de bord,डैशबोर्ड
Register,Register,Registro,يسجل,Registre,पंजीकरण करवाना
Login,Login,Acceso,تسجيل الدخول,Se connecter,लॉग इन करें
Usefull Links,Usefull Links,Enlaces útiles,روابط مفيدة,Liens utiles,उपयोगी लिंक
Newsletter,Newsletter,Hoja informativa,النشرة الإخبارية,Bulletin,समाचार पत्रिका
Top,Top,Arriba,قمة,Haut,शीर्ष
Login Information,Login Information,Información de inicio de sesión,معلومات تسجيل الدخول,Informations de connexion,लॉगिन जानकारी
Please input your phone number and password and login to your account to get access to your dashboard.,Please input your phone number and password and login to your account to get access to your dashboard.,Ingrese su número de teléfono y contraseña e inicie sesión en su cuenta para obtener acceso a su panel de control.,يرجى إدخال رقم هاتفك وكلمة المرور وتسجيل الدخول إلى حسابك للوصول إلى لوحة التحكم الخاصة بك.,Veuillez saisir votre numéro de téléphone et votre mot de passe et vous connecter à votre compte pour accéder à votre tableau de bord.,कृपया अपना फ़ोन नंबर और पासवर्ड डालें और अपने डैशबोर्ड तक पहुंच प्राप्त करने के लिए अपने खाते में लॉगिन करें।
Don't Have An Account?,Don't Have An Account?,¿No tienes una cuenta?,ليس لديك حساب؟,Vous n'avez pas de compte ?,क्या आपके पास खाता नहीं है?
Register Information,Don't Have An Account?,¿No tienes una cuenta?,ليس لديك حساب؟,Vous n'avez pas de compte ?,क्या आपके पास खाता नहीं है?
Please input your details and register to your account to get access to your dashboard.,Please input your details and register to your account to get access to your dashboard.,Ingrese sus datos y regístrese en su cuenta para obtener acceso a su panel de control.,يرجى إدخال تفاصيلك والتسجيل في حسابك للحصول على إمكانية الوصول إلى لوحة التحكم الخاصة بك.,Veuillez saisir vos coordonnées et vous inscrire à votre compte pour accéder à votre tableau de bord.,कृपया अपने विवरण दर्ज करें और अपने डैशबोर्ड तक पहुंच प्राप्त करने के लिए अपने खाते में पंजीकरण करें।
Terms Of Use & Privacy Policy,Terms Of Use & Privacy Policy,Condiciones de uso y política de privacidad,شروط الاستخدام وسياسة الخصوصية,Conditions d'utilisation et politique de confidentialité,उपयोग की शर्ते प्राइवेसि पॉलिसी
I have agreed with,I have agreed with,Estoy de acuerdo con,لقد وافقت على,Je suis d'accord avec,मैं इससे सहमत हूँ
Continue,Continue,Continuar,يكمل,Continuer,जारी रखना
Login Now,Login Now,Iniciar sesión ahora,تسجيل الدخول الآن,Connectez-vous maintenant,अभी लॉगिन करें
KYC Form,KYC Form,Formulario KYC,نموذج اعرف عميلك,Formulaire KYC,केवाईसी फॉर्म
Please input all the fild for login to your account to get access to your dashboard.,Please input all the fild for login to your account to get access to your dashboard.,Ingrese todos los campos para iniciar sesión en su cuenta para obtener acceso a su panel de control.,يرجى إدخال كافة الحقول لتسجيل الدخول إلى حسابك للوصول إلى لوحة التحكم الخاصة بك.,Veuillez saisir tous les champs pour vous connecter à votre compte afin d'accéder à votre tableau de bord.,कृपया अपने डैशबोर्ड तक पहुंच प्राप्त करने के लिए अपने खाते में लॉगिन करने के लिए सभी फ़ील्ड इनपुट करें।
Please input your mobile number and get verify code  for recovering your account.,Please input your mobile number and get verify code  for recovering your account.,Ingrese su número de móvil y obtenga el código de verificación para recuperar su cuenta.,الرجاء إدخال رقم هاتفك المحمول والحصول على رمز التحقق لاستعادة حسابك.,Veuillez saisir votre numéro de téléphone portable et obtenir un code de vérification pour récupérer votre compte.,कृपया अपना मोबाइल नंबर दर्ज करें और अपना खाता पुनर्प्राप्त करने के लिए सत्यापन कोड प्राप्त करें।
Register Now,Register Now,Regístrate ahora,سجل الآن,Inscrivez-vous maintenant,अभी पंजीकरण करें
Please enter the code,Please enter the code,"Por favor, introduzca el código",الرجاء إدخال الرمز,Veuillez entrer le code,कृपया कोड दर्ज करें
We sent a 6 digit code here,We sent a 6 digit code here,Enviamos un código de 6 dígitos aquí,لقد أرسلنا رمزًا مكونًا من 6 أرقام هنا,Nous avons envoyé un code à 6 chiffres ici,हमने यहां 6 अंकों का कोड भेजा है
You can resend the code after,You can resend the code after,Puedes reenviar el código después,يمكنك إعادة إرسال الرمز بعد ذلك,Vous pouvez renvoyer le code après,आप इसके बाद कोड पुनः भेज सकते हैं
Please enter your authorization code to access dashboard,Please enter your authorization code to access dashboard,Ingrese su código de autorización para acceder al panel de control,الرجاء إدخال رمز التفويض الخاص بك للوصول إلى لوحة المعلومات,Veuillez saisir votre code d'autorisation pour accéder au tableau de bord,डैशबोर्ड तक पहुँचने के लिए कृपया अपना प्राधिकरण कोड दर्ज करें
Two Factor Authorization,Two Factor Authorization,Autorización de dos factores,تفويض العاملين,Autorisation à deux facteurs,दो कारक प्राधिकरण
Back to Login,Back to Login,Volver al inicio de sesión,العودة إلى تسجيل الدخول,Retour à la connexion,लॉगिन पर वापस जाएं
Authorize,Authorize,Autorizar,تفويض,Autoriser,अधिकृत
KYC Verification,KYC Verification,Verificación KYC,التحقق من هوية العميل,Vérification KYC,केवाईसी सत्यापन
Please submit your KYC information with valid data.,Please submit your KYC information with valid data.,Envíe su información KYC con datos válidos.,يرجى تقديم معلومات KYC الخاصة بك مع بيانات صالحة.,Veuillez soumettre vos informations KYC avec des données valides.,कृपया अपनी केवाईसी जानकारी वैध डेटा के साथ प्रस्तुत करें।
Account Authorization,Account Authorization,Autorización de cuenta,تفويض الحساب,Autorisation de compte,खाता प्राधिकरण
Need to verify your account. Please check your mail inbox to get the authorization code,Need to verify your account. Please check your mail inbox to get the authorization code,Necesita verificar su cuenta. Revise su bandeja de entrada para obtener el código de autorización.,يجب التحقق من حسابك. يُرجى مراجعة بريدك الإلكتروني للحصول على رمز التفويض.,Votre compte doit être vérifié. Veuillez consulter votre boîte mail pour obtenir le code d'autorisation.,आपके खाते को सत्यापित करने की आवश्यकता है। कृपया प्राधिकरण कोड प्राप्त करने के लिए अपना ईमेल इनबॉक्स देखें।
Verify,Verify,Verificar,يؤكد,Vérifier,सत्यापित करें
Submit,Submit,Entregar,يُقدِّم,Soumettre,जमा करना
Send Money,Send Money,Enviar dinero,إرسال الأموال,Envoyer de l'argent,पैसे भेजना
Receive Money,Receive Money,Recibir dinero,تلقي الأموال,Recevoir de l'argent,धन प्राप्त करें
Remittance,Remittance,Remesa,التحويلات المالية,Remise,प्रेषण
Make Payment,Make Payment,Realizar pago,قم بالدفع,Effectuer un paiement,भुगतान करें
Mobile ToUp,Mobile ToUp,ToUp móvil,شحن الهاتف المحمول,Mobile ToUp,मोबाइल टूअप
Transaction,Transaction,Transacción,عملية,Transaction,लेन-देन
Seved Recipient,Seved Recipient,Destinatario Seved,المستلم المختار,Bénéficiaire servi,सेवा प्राप्त प्राप्तकर्ता
2FA Security,2FA Security,Seguridad 2FA,أمان المصادقة الثنائية,Sécurité 2FA,2FA सुरक्षा
Get Support,Get Support,Obtener soporte,احصل على الدعم,Obtenir de l'aide,समर्थन प्राप्त करें
Notification,Notification,Notificación,إشعار,Notification,अधिसूचना
Cancel,Cancel,Cancelar,يلغي,Annuler,रद्द करना
Optional,Optional,Opcional,خياري,Facultatif,वैकल्पिक
Add Money Preview,Add Money Preview,Añadir vista previa de dinero,إضافة معاينة الأموال,Ajouter de l'argent Aperçu,पैसे जोड़ें पूर्वावलोकन
Entered Amount,Entered Amount,Cantidad ingresada,المبلغ المدخل,Montant saisi,दर्ज की गई राशि
Total Fees & Charges,Total Fees & Charges,Tarifas y cargos totales,إجمالي الرسوم والتكاليف,Total des frais et charges,कुल शुल्क और प्रभार
Will Get,Will Get,Lo conseguiré,سوف تحصل,Obtiendra,लाऊंगा
Total Payable Amount,Total Payable Amount,Importe total a pagar,إجمالي المبلغ المستحق,Montant total à payer,कुल देय राशि
Available Balance,Available Balance,Saldo disponible,الرصيد المتاح,Solde disponible,उपलब्ध शेष राशि
Bill Pay Form,Bill Pay Form,Formulario de pago de facturas,نموذج دفع الفاتورة,Formulaire de paiement de facture,बिल भुगतान फॉर्म
Bill Pay,Bill Pay,Pago de facturas,دفع الفاتورة,Paiement de factures,बिल का भुगतान
Bill Number,Bill Number,Número de factura,رقم الفاتورة,Numéro de facture,बिल संख्या
Amount,Amount,Cantidad,كمية,Montant,मात्रा
Total Charge,Total Charge,Carga total,إجمالي الرسوم,Charge totale,कुल शुल्क
Total Payable,Total Payable,Total a pagar,إجمالي المبلغ المستحق,Total à payer,कुल देय
View More,View More,Ver más,عرض المزيد,Voir plus,और देखें
Mobile Number,Mobile Number,Número de teléfono móvil,رقم الهاتف المحمول,Numéro de portable,मोबाइल नंबर
Confirm Payment,Confirm Payment,Confirmar pago,تأكيد الدفع,Confirmer le paiement,भुगतान की पुष्टि करें
Total Fees,Total Fees,Tarifas totales,إجمالي الرسوم,Total des frais,कुल शुल्क
Recipient Received,Recipient Received,Destinatario Recibido,تم استلام المستلم,Destinataire reçu,प्राप्तकर्ता प्राप्त
Make Payment Log,Make Payment Logs,Realizar registros de pagos,إنشاء سجلات الدفع,Effectuer des journaux de paiement,भुगतान लॉग बनाएं
Bill Pay Log,Bill Pay Log,Registro de pago de facturas,سجل دفع الفاتورة,Journal de paiement des factures,बिल भुगतान लॉग
Recharge,Recharge,Recargar,إعادة الشحن,Recharger,फिर से दाम लगाना
Recharge Now,Recharge Now,Recarga ahora,اشحن الآن,Rechargez maintenant,अभी रिचार्ज करें
TopUp Type,TopUp Type,Tipo de recarga,نوع الشحن,Type de recharge,टॉपअप प्रकार
Preview,Preview,Avance,معاينة,Aperçu,पूर्व दर्शन
Mobile Topup Log,Mobile Topup Log,Registro de recargas móviles,سجل شحن الهاتف المحمول,Journal de rechargement mobile,मोबाइल टॉपअप लॉग
Money Out,Money Out,Dinero fuera,سحب الأموال,Sortie d'argent,धन ले जाना
Conversion Amount,Conversion Amount,Monto de conversión,مبلغ التحويل,Montant de la conversion,रूपांतरण राशि
Money Out Information,Money Out Information,Información sobre retiro de dinero,معلومات عن صرف الأموال,Informations sur les retraits d'argent,पैसे निकालने की जानकारी
Exchange Rate,Exchange Rate,Tipo de cambio,سعر الصرف,Taux de change,विनिमय दर
Profile Settings,Profile Settings,Configuración del perfil,إعدادات الملف الشخصي,Paramètres du profil,प्रोफ़ाइल सेटिंग्स
Change Password,Change Password,Cambiar la contraseña,تغيير كلمة المرور,Changer le mot de passe,पासवर्ड बदलें
Change,Change,Cambiar,يتغير,Changement,परिवर्तन
Add Receipient,Add Receipient,Agregar destinatario,إضافة المستلم,Ajouter un destinataire,प्राप्तकर्ता जोड़ें
Transaction Type,Transaction Type,Tipo de transacción,نوع المعاملة,Type de transaction,लेन-देन का प्रकार
No Recipient Found!,No Recipient Found!,¡No se encontró ningún destinatario!,لم يتم العثور على المستلم!,Aucun destinataire trouvé !,कोई प्राप्तकर्ता नहीं मिला!
Money Receive,Money Receive,Recibir dinero,استلام الأموال,Argent reçu,धन प्राप्ति
Share Qr Code,Share Qr Code,Compartir código QR,مشاركة رمز الاستجابة السريعة,Partager le code QR,क्यूआर कोड साझा करें
Share,Share,Compartir,يشارك,Partager,शेयर करना
Form,Form,Forma,استمارة,Formulaire,रूप
Add,Add,Agregar,يضيف,Ajouter,जोड़ना
Send Now,Send Now,Enviar ahora,أرسل الآن,Envoyer maintenant,अब भेजें
Receiving Country,Receiving Country,País receptor,البلد المستقبل,Pays d'accueil,प्राप्तकर्ता देश
Receipient,Receipient,Destinatario,المستلم,Destinataire,प्राप्तकर्ता
Transfer Fee,Transfer Fee,Tarifa de transferencia,رسوم التحويل,Frais de transfert,स्थानांतरण शुल्क
Receipient Get,Receipient Get,Receptor Obtener,المستلم الحصول على,Destinataire Obtenir,प्राप्तकर्ता प्राप्त करें
Remittance Log,Remittance Log,Registro de remesas,سجل التحويلات المالية,Journal des transferts de fonds,प्रेषण लॉग
Two Factor Authenticator,Two Factor Authenticator,Autenticador de dos factores,المصادقة الثنائية,Authentificateur à deux facteurs,दो कारक प्रमाणक
Disable,Disable,Desactivar,إبطال,Désactiver,अक्षम करना
Enable,Enable,Permitir,يُمكَِن,Activer,सक्षम
Confirm Send,Confirm Send,Confirmar envío,تأكيد الإرسال,Confirmer l'envoi,भेजने की पुष्टि करें
Send Money Preview,Send Money Preview,Vista previa de envío de dinero,معاينة إرسال الأموال,Aperçu de l'envoi d'argent,पैसे भेजें पूर्वावलोकन
Send Money Log,Send Money Log,Registro de envío de dinero,سجل إرسال الأموال,Journal d'envoi d'argent,धन भेजें लॉग
Add New Ticket,Add New Ticket,Agregar nuevo ticket,إضافة تذكرة جديدة,Ajouter un nouveau ticket,नया टिकट जोड़ें
Add New,Add New,Agregar nuevo,إضافة جديد,Ajouter un nouveau,नया जोड़ो
Ticket ID,Ticket ID,Identificación del ticket,معرف التذكرة,ID du billet,टिकट आईडी
Full Name,Full Name,Nombre completo,الاسم الكامل,Nom et prénom,पूरा नाम
Email,Email,Correo electrónico,بريد إلكتروني,E-mail,ईमेल
Subject,Subject,Sujeto,موضوع,Sujet,विषय
Status,Status,Estado,حالة,Statut,स्थिति
Last Replied,Last Replied,Última respuesta,آخر رد,Dernière réponse,अंतिम उत्तर
Details,Details,Detalles,تفاصيل,Détails,विवरण
Add Balance via,Add Balance via,Agregar saldo a través de,إضافة الرصيد عبر,Ajouter un solde via,बैलेंस जोड़ें
Virtual Card,Virtual Card,Tarjeta virtual,بطاقة افتراضية,Carte virtuelle,वर्चुअल कार्ड
Exchange Money,Exchange Money,Cambio de dinero,صرف الأموال,Échange d'argent,विदेशी मुद्रा
Balance Update From Admin,Balance Update From Admin,Actualización de saldo del administrador,تحديث الرصيد من الإدارة,Mise à jour du solde par l'administrateur,व्यवस्थापक से शेष राशि अपडेट
Current Balance,Current Balance,Saldo actual,الرصيد الحالي,Solde actuel,वर्तमान शेष
Card Type,Card Type,Tipo de tarjeta,نوع البطاقة,Type de carte,कार्ड का प्रकार
Total Bill Pay,Total Bill Pay,Pago total de facturas,إجمالي دفع الفاتورة,Total des factures à payer,कुल बिल भुगतान
Total Mobile TopUp,Total Mobile TopUp,Recarga total de móvil,إجمالي شحن الهاتف المحمول,Recharge mobile totale,कुल मोबाइल टॉपअप
Total Buy Gift Card,Total Buy Gift Card,Tarjeta de regalo de compra total,إجمالي شراء بطاقة الهدايا,Carte-cadeau Total Buy,कुल खरीद उपहार कार्ड
Total Transaction,Total Transaction,Transacción total,إجمالي المعاملات,Total des transactions,कुल लेनदेन
Latest Transactions,Latest Transactions,Últimas transacciones,أحدث المعاملات,Dernières transactions,नवीनतम लेनदेन
Log in and Stay Connected,Log in and Stay Connected,Inicia sesión y mantente conectado,تسجيل الدخول والبقاء على اتصال,Connectez-vous et restez connecté,लॉग इन करें और जुड़े रहें
Register for an Account Today,Register for an Account Today,Regístrese para obtener una cuenta hoy,سجل للحصول على حساب اليوم,Créez un compte aujourd'hui,एक खाता के लिए आज ही पंजीकरण करें
Reset Your Forgotten Password,Reset Your Forgotten Password,Restablecer su contraseña olvidada,إعادة تعيين كلمة المرور المنسية,Réinitialiser votre mot de passe oublié,अपना भूला हुआ पासवर्ड रीसेट करें
Developer,Developer,Revelador,المطور,Promoteur,डेवलपर
please Fill Out The Field,Please Fill Out The Field,"Por favor, rellene el campo",الرجاء ملء الحقل,Veuillez remplir le champ,कृपया फ़ील्ड भरें
sign In,Sign In,Iniciar sesión,تسجيل الدخول,Se connecter,दाखिल करना
rich Signin,Sign In,Iniciar sesión,تسجيل الدخول,Se connecter,दाखिल करना
sign Up,Sign Up,Inscribirse,اشتراك,S'inscrire,साइन अप करें
rich Sign Up,Sign Up,Inscribirse,اشتراك,S'inscrire,साइन अप करें
welcome Back,Welcome Back,Bienvenido de nuevo,مرحبًا بعودتك,Content de te revoir,वापसी पर स्वागत है
country,Country,País,دولة,Pays,देश
billing Information,Billing Information,Información de facturación,معلومات الفوترة,Informations de facturation,बिलिंग जानकारी
top Up Information,Top UP Information,Información de recarga,معلومات التعبئة,Informations sur le rechargement,टॉप अप जानकारी
use Secure Instant MOney,Use Secure & Instant Money Transfer App Now,Utilice la aplicación de transferencia de dinero segura e instantánea ahora,استخدم تطبيق تحويل الأموال الآمن والفوري الآن,Utilisez dès maintenant l'application de transfert d'argent sécurisée et instantanée,सुरक्षित और त्वरित धन हस्तांतरण ऐप का अभी उपयोग करें
user Name Or Email Address,Username Or Email Address,Nombre de usuario o dirección de correo electrónico,اسم المستخدم أو عنوان البريد الإلكتروني,Nom d'utilisateur ou adresse e-mail,उपयोगकर्ता का नाम या ईमेल पता
password,Password,Contraseña,كلمة المرور,Mot de passe,पासवर्ड
get Started,Get Started,Empezar,البدء,Commencer,शुरू हो जाओ
use App For Instant,app for instant money transfer. Scan or Place this QRcode for receiving money in your wallet. Share this QR for instant money receiving.,Aplicación para transferencias instantáneas de dinero. Escanea o coloca este código QR para recibir dinero en tu billetera. Comparte este código QR para recibir dinero al instante.,تطبيق لتحويل الأموال فورًا. امسح رمز الاستجابة السريعة هذا أو ضعه في محفظتك لاستلام الأموال. شارك رمز الاستجابة السريعة هذا لاستلام الأموال فورًا.,Application pour transfert d'argent instantané. Scannez ou placez ce QRcode pour recevoir de l'argent dans votre portefeuille. Partagez ce QR pour recevoir de l'argent instantanément.,तुरंत पैसे ट्रांसफर करने के लिए ऐप। अपने वॉलेट में पैसे प्राप्त करने के लिए इस QR कोड को स्कैन करें या रखें। तुरंत पैसे प्राप्त करने के लिए इस QR कोड को शेयर करें।
email Address,Email Address,Dirección de correo electrónico,عنوان البريد الإلكتروني,Adresse email,मेल पता
